id,file_name,class,x_min,y_min,x_max,y_max,area
0,train/0000.jpg,0,197.6,193.7,745.4,663.4,257301.66
1,train/0001.jpg,3,0.0,407.4,57.6,588.0,10402.56
1,train/0001.jpg,7,0.0,455.6,144.6,637.2,26259.36
1,train/0001.jpg,4,722.3,313.4,996.5999999999999,565.3,69096.17
1,train/0001.jpg,5,353.2,671.0,586.9,774.4,24164.58
1,train/0001.jpg,5,3.7,448.5,781.9000000000001,690.5,188324.4
1,train/0001.jpg,0,425.3,681.9,641.7,861.7,38908.72
1,train/0001.jpg,7,92.4,601.7,231.6,654.8000000000001,7391.52
1,train/0001.jpg,0,622.4,686.5,695.1999999999999,780.7,6857.76
2,train/0002.jpg,3,267.9,165.2,899.5,678.2,324010.8
3,train/0003.jpg,2,462.2,369.4,696.1,624.0,59550.94
3,train/0003.jpg,6,773.3,3.0,961.6999999999999,431.4,80710.56
4,train/0004.jpg,1,567.5,462.2,732.7,551.6,14768.88
4,train/0004.jpg,1,859.4,411.7,1023.5999999999999,612.6,32987.78
4,train/0004.jpg,1,362.0,349.7,492.0,601.6,32747.0
4,train/0004.jpg,1,392.5,348.4,604.5,604.0999999999999,54208.4
4,train/0004.jpg,1,482.2,491.4,759.9,699.9,57900.45
4,train/0004.jpg,0,868.2,521.7,969.4000000000001,566.4000000000001,4523.64
5,train/0005.jpg,7,0.0,148.3,317.0,278.3,41210.0
5,train/0005.jpg,0,320.0,233.7,502.9,300.2,12162.85
5,train/0005.jpg,0,297.7,212.6,464.6,274.1,10264.35
5,train/0005.jpg,0,329.8,203.2,372.5,220.7,747.25
5,train/0005.jpg,5,979.0,173.0,1023.7,259.3,3857.61
5,train/0005.jpg,5,894.3,425.4,1023.6999999999999,522.4,12551.8
5,train/0005.jpg,7,803.6,282.4,886.2,381.7,8202.18
5,train/0005.jpg,7,489.7,158.0,931.3,321.6,72245.76
5,train/0005.jpg,7,837.8,263.6,971.9,395.70000000000005,17714.61
5,train/0005.jpg,7,799.8,392.4,963.4,558.2,27124.88
5,train/0005.jpg,7,631.9,237.2,840.8,591.2,73950.6
5,train/0005.jpg,7,948.5,0.0,1023.7,105.9,7963.68
5,train/0005.jpg,7,55.5,0.0,1016.9,239.0,229774.6
5,train/0005.jpg,1,68.1,66.5,193.39999999999998,104.8,4798.99
5,train/0005.jpg,1,181.2,70.3,354.6,166.8,16733.1
5,train/0005.jpg,7,0.0,129.3,333.9,559.5,143643.78
5,train/0005.jpg,1,60.6,271.2,665.7,739.0,283065.78
5,train/0005.jpg,1,104.6,278.6,648.1,595.6,172289.5
5,train/0005.jpg,0,98.5,612.3,168.3,656.6999999999999,3099.12
5,train/0005.jpg,1,495.7,627.6,841.4,948.6,110969.7
5,train/0005.jpg,5,925.5,97.3,977.6,168.2,3693.89
5,train/0005.jpg,0,471.4,422.3,601.4,482.0,7761.0
6,train/0006.jpg,1,351.7,269.9,750.4,829.0,222913.17
7,train/0007.jpg,9,109.0,104.7,860.7,581.6,358485.73
7,train/0007.jpg,9,95.4,438.7,804.1,991.0999999999999,391485.88
8,train/0008.jpg,6,51.8,0.0,687.4,395.9,251634.04
8,train/0008.jpg,0,74.8,258.0,321.0,281.9,5884.18
8,train/0008.jpg,7,170.3,0.0,585.8,210.5,87462.75
8,train/0008.jpg,7,0.0,161.8,101.2,823.9000000000001,67004.52
8,train/0008.jpg,7,86.0,0.0,269.2,124.2,22753.44
8,train/0008.jpg,7,0.0,0.0,192.3,211.6,40690.68
8,train/0008.jpg,7,44.4,135.9,789.6999999999999,886.4,559347.65
9,train/0009.jpg,2,308.4,281.3,712.5,697.1,168024.78
10,train/0010.jpg,0,377.9,255.0,746.3,533.1,102452.04
11,train/0011.jpg,0,446.6,445.2,543.4,580.8,13126.08
12,train/0012.jpg,1,146.0,441.9,921.4,952.9,396229.4
12,train/0012.jpg,1,274.8,540.1,658.5,679.3,53411.04
12,train/0012.jpg,1,276.3,334.6,632.6,599.4000000000001,94348.24
13,train/0013.jpg,6,99.9,58.9,239.8,177.0,16522.19
13,train/0013.jpg,7,746.7,167.6,970.5,420.0,56487.12
13,train/0013.jpg,7,0.0,0.0,111.1,159.2,17687.12
13,train/0013.jpg,6,59.3,0.0,241.10000000000002,81.0,14725.8
13,train/0013.jpg,7,629.2,24.9,970.5,278.09999999999997,86417.16
13,train/0013.jpg,1,0.0,159.5,104.3,285.2,13110.51
13,train/0013.jpg,1,0.0,473.4,301.0,823.0999999999999,105259.7
13,train/0013.jpg,1,0.0,266.9,247.5,509.4,60018.75
13,train/0013.jpg,7,72.5,112.0,907.5,834.0,602870.0
13,train/0013.jpg,1,485.2,173.2,550.9,208.79999999999998,2338.92
13,train/0013.jpg,3,325.1,457.7,494.8,588.5,22196.76
13,train/0013.jpg,5,484.6,145.8,711.5,420.6,62352.12
13,train/0013.jpg,5,572.6,538.9,848.6,711.9,47748.0
13,train/0013.jpg,5,136.1,355.0,447.6,468.8,35448.7
13,train/0013.jpg,5,459.2,335.2,789.0,542.7,68433.5
13,train/0013.jpg,5,611.2,450.0,855.3000000000001,616.6,40667.06
14,train/0014.jpg,9,586.4,194.4,874.9,839.8,186197.9
