               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081904,            0.064641,            0.060422,            0.054408,             0.15523,            0.043904,            0.018999,            0.058695,            0.038538,            0.052932,             0.00101,             0.00101,             0.09091
                   1,            0.059279,            0.055452,            0.050509,             0.11181,             0.22737,             0.11334,            0.055997,            0.051784,            0.032661,            0.047314,             0.00203,             0.00203,             0.08173
                   2,            0.054608,            0.055014,            0.046283,             0.23598,                0.25,             0.15342,            0.080001,            0.046642,            0.032188,            0.043993,           0.0030499,           0.0030499,             0.07255
                   3,            0.051942,            0.053482,            0.043753,             0.37185,             0.26233,             0.17645,            0.099041,            0.044399,            0.032539,            0.042436,           0.0040697,           0.0040697,             0.06337
                   4,            0.049668,            0.051541,            0.042555,             0.39814,             0.28854,             0.19022,             0.10466,            0.045208,            0.032025,            0.041125,           0.0050894,           0.0050894,            0.054189
                   5,            0.048686,            0.053558,             0.04115,             0.42208,              0.2392,              0.1772,             0.10031,            0.044136,            0.032747,            0.043218,           0.0061088,           0.0061088,            0.045009
                   6,            0.047284,            0.052197,            0.040368,             0.40549,             0.25197,             0.18542,            0.099837,            0.044298,            0.034734,             0.04012,            0.007128,            0.007128,            0.035828
                   7,            0.047355,            0.054364,            0.039203,             0.42021,             0.24247,             0.18854,             0.10052,            0.044355,            0.035214,            0.039367,           0.0081468,           0.0081468,            0.026647
                   8,            0.047341,            0.055883,            0.039343,             0.28405,             0.18589,             0.12605,            0.061118,            0.050198,            0.039629,            0.041483,           0.0091654,           0.0091654,            0.017465
                   9,             0.04752,            0.056522,            0.039453,             0.22253,             0.20395,             0.14483,            0.077171,            0.048564,             0.03688,            0.045131,           0.0099936,           0.0099936,           0.0099936
                  10,            0.047543,            0.056544,            0.038794,             0.18382,             0.28468,             0.13527,            0.067288,            0.049534,            0.048577,            0.042759,           0.0099936,           0.0099936,           0.0099936
                  11,            0.047264,             0.05538,            0.037918,             0.33564,             0.25601,             0.22181,             0.12023,            0.044737,            0.039238,              0.0389,           0.0099921,           0.0099921,           0.0099921
                  12,            0.046392,            0.056028,            0.037219,             0.35357,             0.30389,             0.26657,             0.14257,            0.043561,            0.033608,            0.035615,           0.0099905,           0.0099905,           0.0099905
                  13,            0.046015,            0.054666,            0.036849,             0.36078,             0.32086,             0.27394,             0.15672,            0.043226,            0.035014,            0.039917,           0.0099886,           0.0099886,           0.0099886
                  14,            0.044449,            0.052878,            0.035855,             0.30929,             0.32229,             0.23663,             0.13744,            0.046351,            0.035924,            0.041032,           0.0099867,           0.0099867,           0.0099867
                  15,            0.044763,            0.052881,            0.034874,             0.36802,             0.32068,             0.27383,             0.15332,            0.042973,            0.036606,            0.035475,           0.0099845,           0.0099845,           0.0099845
